,Text1,Text2,Class
13,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The Pilot can rotate the UAV independently from its current direction of travel.,Neutral
14,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The UAV shall send the Pilot only real-time information about malfunctions that impact the mission.,Neutral
15,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Pilot Controller shall be able to define, upload, start, and end a flight plan to the Hummingbird consisting of a set of waypoints within the Hummingbird's flight envelope.",Neutral
16,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The UAV Viewer (also known as the ""Viewer"") shall securely connect to the UAV.",Neutral
17,These are the customer requirements for the Aviary System of Systems.,These are the performance requirements for the Aviary System of Systems.,Conflict
18,These are the customer requirements for the Aviary System of Systems.,These are the client requirements for the Apiary System of Systems.,Conflict
19,These are the customer requirements for the Aviary System of Systems.,These are the System Requirements for the Aviary System of Systems.,Conflict
20,These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Conflict
21,These are the customer requirements for the Aviary System of Systems.,These are the vendor requirements for the Aviary System of Systems. ,Conflict
22,These are the customer requirements for the Aviary System of Systems.,These are the business requirements for the Aviary System of Systems.,Conflict
23,These are the customer requirements for the Aviary System of Systems.,These are the engineer's requirements for the Aviary System of Systems.,Conflict
24,These are the customer requirements for the Aviary System of Systems.,These are the developer options for the Aviary System of Systems.,Conflict
25,These are the customer requirements for the Aviary System of Systems.,These are the software requirements for the Aviary System of Systems.,Conflict
26,These are the customer requirements for the Aviary System of Systems.,Remote surveillance should support a mission of up to 2 hours without a recharge,Neutral
27,These are the customer requirements for the Aviary System of Systems.,"The UAV supports a ""stealth mode"" in which it emits no light during flight, at the discretion of the Pilot control.",Neutral
28,These are the customer requirements for the Aviary System of Systems.,The UAV shall charge to 75% in less than 3 hours.,Neutral
29,These are the customer requirements for the Aviary System of Systems.,The Pilot shall be able to fly the UAV to any accessible-by-air location 20 miles from its origin,Neutral
30,These are the customer requirements for the Aviary System of Systems.,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""forward looking"" position.",Neutral
31,These are the customer requirements for the Aviary System of Systems.,The Pilot shall rotate the UAV based on its direction of travel.,Neutral
32,These are the customer requirements for the Aviary System of Systems.,The UAV visual feed should include a night time IR camera capability,Neutral
33,These are the customer requirements for the Aviary System of Systems.,UAV data will be secure so only authorized access is allowed.,Neutral
34,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Conflict
35,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall remotely monitor from the air locations extending up to 25 miles of the target.,Conflict
36,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Conflict
37,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Conflict
38,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,Conflict
39,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the Hummingbird.,Conflict
40,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Conflict
41,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 200 miles of the origin.,Conflict
42,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 miles of the origin.,Conflict
43,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Pilot shall have a near real-time visual feedback from the Aviary system camera.,Neutral
44,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary supports autonomous and Pilot-directed flights.,Neutral
45,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The UAV visual feed shall be free of any noise in its visual field.,Neutral
46,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The Pilot should be able to set the zoom, aim and focus of the camera in real-time.",Neutral
47,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,All UAV data transmission shall be secure against unauthorized access.,Neutral
48,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all other directions.,Neutral
49,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV with secure connection.",Neutral
50,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"Under ideal conditions, the time required for a 40-mile round trip should be less than 60 minutes.",Neutral
51,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with charging,Conflict
52,Remote surveillance should support a mission of up to 2 hours without a recharge,The Aviary battery shall remain charged up to 180 minutes in the air. ,Conflict
53,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall support a mission of up to 2 hours without a recharge,Conflict
54,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours without a recharge,Conflict
55,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support 5 missions of up to 2 hours each without a recharge. ,Conflict
56,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with a recharge in the middle,Conflict
57,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of at least 2 hours without a recharge,Conflict
58,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 1 hours with a recharge,Conflict
59,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 3 hours without a recharge,Conflict
60,Remote surveillance should support a mission of up to 2 hours without a recharge,The Viewer shall have no influence to the flight or camera functions on the UAV.,Neutral
61,Remote surveillance should support a mission of up to 2 hours without a recharge,Most UAV data transmission shall be secure against unauthorized access.,Neutral
62,Remote surveillance should support a mission of up to 2 hours without a recharge,"TheAviary is a system of systems consisting of the Bird Feeder pilot controller, the Hummingbird UAV, and up to 4 smartphone or computer viewing apps.",Neutral
63,Remote surveillance should support a mission of up to 2 hours without a recharge,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""rearward looking"" position.",Neutral
64,Remote surveillance should support a mission of up to 2 hours without a recharge,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of low to strong winds.",Neutral
65,Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV visual feed shall be free of motion artifacts for slow and moderate speed elements in its visual field.,Neutral
66,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Neutral
67,Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV flight range shall exceed 20 miles. ,Neutral
68,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Conflict
69,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no more than four operaters.,Conflict
70,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for automatic navigation of the surveillance platform and for remote viewer by at least 8 independent operations personnel.,Conflict
71,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
72,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during automatic navigation of the surveillance platform and for the remote viewer by at most four independent operations personnel. ,Conflict
73,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
74,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include movie streaming for manual navigation of the surveillance platform and for remote viewer by at least five dependent operations personnel.,Conflict
75,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer, by less than four independent operations personnel.",Conflict
76,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least six independent operations personnel.,Conflict
77,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly above an average 70 boxes,Neutral
78,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly over an average 70 floor building,Neutral
79,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV flight range shall exceed 20 miles. ,Neutral
80,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to automatically follow a flight plan consisting of a set of waypoints within its range and flight capabilities.,Neutral
81,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The Aviary supports autonomous and Pilot-directed flights.,Neutral
82,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,All Pilot communication to the UAV shall require secure connections protected against snooping and any unauthorized access. ,Neutral
83,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Communication among the flight, operations elements, and platform shall be unencryped",Neutral
84,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral
85,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be available to everyone",Conflict
86,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the pilot controller, UAV, and remote controllers shall be secure against hacking and eavesdropping.",Conflict
87,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall not be secure for hacking and eavesdropping.",Conflict
88,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
89,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, navigation computer, and platform shall be secure from hacking and eavesdropping. ",Conflict
90,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be unencryped",Conflict
91,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
92,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Communication along the flight and platform should be secure from hacking and eavesdropping.,Conflict
93,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be insecure for hacking and eavesdropping.",Conflict
94,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall land automatically when Pilot communication is lost and the estimated power remaining is less than 5 watts.,Neutral
95,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAB shall periodically send the Pilot the power and estimated flight time remaining.,Neutral
96,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV based on its direction of travel.,Neutral
97,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","The UAV Viewer's (also known as the ""Viewer"") connection to the UAV shall be secure",Neutral
98,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV independently from its direction of travel.,Neutral
99,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall transmit information to any devices.,Neutral
100,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Neutral
101,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot controller shall connect or disconnect to at most one Hummingbird in a secure fashion at any time.,Neutral
102,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight.,Conflict
103,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall only support autonomous remote missions.,Conflict
104,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support manual mission plans as well as Pilot-directed flight.,Conflict
105,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Conflict
106,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight. ,Conflict
107,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support only autonomous mission plans.,Conflict
108,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary may not support autonomous mission plans as well as Pilot-directed flight.,Conflict
109,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support Pilot-directed flight.,Conflict
110,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall not support autonomous mission plans.,Conflict
111,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Neutral
112,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV shall land automatically when Pilot communication is broken and the estimated flight time remaining is less than 5 minutes.,Neutral
113,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to control the speed of flight from 0 knots to maximum speed in any direction in a smooth fashion.,Neutral
114,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The custom communications network shall faciliate pilot communications with the UAV up to 50-miles from the pilot's origin.,Neutral
115,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral
116,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Neutral
117,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,"The UAV shall detect a loss of communication with the Pilot, wait for communication to resume, and hover in place until communication is resumed.",Neutral
118,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV video recording shall have 720p resolution and frame rate.,Neutral
119,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any location,Conflict
120,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot controller shall fly the UAV by air to a location at least 20 miles from the starting point.,Conflict
121,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 40 kilometers of its origin,Conflict
122,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Conflict
123,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The pilot shall be able to fly the UAV to any accessible-by-air location within 20 kilometers of its origin,Conflict
124,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 200 miles of its origin,Conflict
125,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location 20 miles from its origin,Conflict
126,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 km of its origin,Conflict
127,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 50 miles of its origin,Conflict
128,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The camera shall be able to point directly underneath the Hummingbird and to at most 60 degrees in all directions from pointing directly down.,Neutral
129,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The UAV flight range shall be at least 20 miles.,Neutral
130,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,"The Pilot shall be able to define, upload, initiation, follow, and terminate a flight plan to the Bird Feeder consisting of a set of waypoints within the flight range of the Bird Feeder.",Neutral
131,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,All UAV data transmission shall be secure against authenticated access.,Neutral
132,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,"The UAB, when a button pressed, shall send the Pilot the power and estimated flight time remaining.",Neutral
133,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,"The Aviary is a system consisting of four elements: a Bird Feeder (pilot controller), the Hummingbird (UAV), and up to 4 Viewers (apps running on devices). ",Neutral
134,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Remote surveillance should support a two hour flight without charging. ,Neutral
135,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,Neutral
136,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 200-mile radius of the pilot station.,Conflict
137,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The custom communications network with the UAV shall faciliate pilot communications 50-miles or greater from the pilot's station.,Conflict
138,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall be able to communicate with the custom communications network  within a 50-mile radius of the pilot station.,Conflict
139,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,Conflict
140,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using standard communications network capable of communicating within a 50-mile radius of the pilot station. ,Conflict
141,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the pilot station using custom communications network capable of communicating within a 50-mile radius of the UAV.,Conflict
142,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using pre-built communications network capable of communicating within a 20-mile radius of the pilot station.,Conflict
143,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network,Conflict
144,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 100-mile radius of the pilot station.,Conflict
145,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall have visual feedback with no more than 3-second delay from the UAV's camera usable for the purpose of navigation and/or surveillance.,Neutral
146,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The UAV only accepts commands from a verified Pilot controller,Neutral
147,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The UAV shall be able to autonomously a flight plan consisting of a set of waypoints within its range and flight capabilities.,Neutral
148,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,"TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Neutral
149,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Hummingbird shall be able to fly above an average 70 story building,Neutral
150,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The Pilot shall have real-time visual feedback from the UAV's camera in order to navigation and/or provide surveillance.,Neutral
151,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The UAV video feed shall include infrared camera capabilities.,Neutral
152,The Pilot shall communicate with the UAV using custom communications network capable of communicating within a 50-mile radius of the pilot station.,The UAV shall automatically land when communication with Pilot is lost and estimated remaining flight time is less than 5 minutes. ,Neutral
153,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall occur with radio.,Conflict
154,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The custom communications network shall provide connections for access between the pilot and the UAV,Conflict
155,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require an open connection and shall be protected against snooping and other forms of unauthorized access.,Conflict
156,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,Conflict
157,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require a secure connection and shall be vulnerable to snooping and other forms of unauthorized access. ,Conflict
158,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall not require a secure connection.,Conflict
159,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require a secure connections and may be unprotected against snooping and other forms of unauthorized access.,Conflict
160,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require a secure connections and shall not be protected against snooping nor other forms of unauthorized access.,Conflict
161,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,All Pilot communication with the UAV shall require insecure connections and shall not be protected against snooping and other forms of unauthorized access.,Conflict
162,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall only transmit information to authenticated devices.,Neutral
163,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The minimum time to fly a round trip of 40 miles shall be less than 60 minutes under ideal conditions.,Neutral
164,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall fully charge in less than 4 hours.,Neutral
165,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Neutral
166,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The Pilot shall have real-time heptic feedback from the UAV's camera usable for the purpose of navigation and/or surveillance.,Neutral
167,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV shall send the Pilot real-time information about malfunctions that impact the mission.,Neutral
168,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers or tablets).",Neutral
169,All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,The UAV's direction of flight shall be dependent on its yaw (horizontal rotational orientation).,Neutral
170,The Pilot shall be able to control the speed of flight from 0 to maximum speed in any direction in a smooth fashion.,The Pilot shall be able to control the speed of flight from 0 to maximum speed in forward looking position.,Conflict
