,Text1,Text2,Class
12,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",Duplicate
13,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system consisting of four elements: a Bird Feeder (pilot controller), the Hummingbird (UAV), and up to 4 Viewers (apps running on devices). ",Duplicate
14,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems in which the Bird Feeder, a pilot controller, controls a UAV called the Hummingbird and up to four Viewers observe using smart phones or computers.",Duplicate
15,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Aviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and at most 4 Viewers (apps running on smart phones or computers).",Duplicate
16,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Duplicate
17,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Pilot shall be able to set the zoom, aim and focus of the UAV camera in virtual-time.",Neutral
18,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Neutral
19,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,Neutral
20,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The UAV shall be able to fly above an above average 70 story building. ,Neutral
21,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The Pilot can rotate the UAV independently from its current direction of travel.,Neutral
22,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The UAV shall send the Pilot only real-time information about malfunctions that impact the mission.,Neutral
23,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Pilot Controller shall be able to define, upload, start, and end a flight plan to the Hummingbird consisting of a set of waypoints within the Hummingbird's flight envelope.",Neutral
24,"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The UAV Viewer (also known as the ""Viewer"") shall securely connect to the UAV.",Neutral
25,These are the customer requirements for the Aviary System of Systems.,These are the performance requirements for the Aviary System of Systems.,Conflict
26,These are the customer requirements for the Aviary System of Systems.,These are the client requirements for the Apiary System of Systems.,Conflict
27,These are the customer requirements for the Aviary System of Systems.,These are the System Requirements for the Aviary System of Systems.,Conflict
28,These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Conflict
29,These are the customer requirements for the Aviary System of Systems.,These are the vendor requirements for the Aviary System of Systems. ,Conflict
30,These are the customer requirements for the Aviary System of Systems.,These are the business requirements for the Aviary System of Systems.,Conflict
31,These are the customer requirements for the Aviary System of Systems.,These are the engineer's requirements for the Aviary System of Systems.,Conflict
32,These are the customer requirements for the Aviary System of Systems.,These are the developer options for the Aviary System of Systems.,Conflict
33,These are the customer requirements for the Aviary System of Systems.,These are the software requirements for the Aviary System of Systems.,Conflict
34,These are the customer requirements for the Aviary System of Systems.,These are the user requests for the Aviary System of Systems.,Duplicate
35,These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System,Duplicate
36,These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System.,Duplicate
37,These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Duplicate
38,These are the customer requirements for the Aviary System of Systems.,These are the client requirements for the Aviary System of Systems. ,Duplicate
39,These are the customer requirements for the Aviary System of Systems.,The Aviary System of Systems has these requirements.,Duplicate
40,These are the customer requirements for the Aviary System of Systems.,Following are requirements for the Aviary System of Systems,Duplicate
41,These are the customer requirements for the Aviary System of Systems.,These are the consumer guidelines for Aviary.,Duplicate
42,These are the customer requirements for the Aviary System of Systems.,Remote surveillance should support a mission of up to 2 hours without a recharge,Neutral
43,These are the customer requirements for the Aviary System of Systems.,"The UAV supports a ""stealth mode"" in which it emits no light during flight, at the discretion of the Pilot control.",Neutral
44,These are the customer requirements for the Aviary System of Systems.,The UAV shall charge to 75% in less than 3 hours.,Neutral
45,These are the customer requirements for the Aviary System of Systems.,The Pilot shall be able to fly the UAV to any accessible-by-air location 20 miles from its origin,Neutral
46,These are the customer requirements for the Aviary System of Systems.,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""forward looking"" position.",Neutral
47,These are the customer requirements for the Aviary System of Systems.,The Pilot shall rotate the UAV based on its direction of travel.,Neutral
48,These are the customer requirements for the Aviary System of Systems.,The UAV visual feed should include a night time IR camera capability,Neutral
49,These are the customer requirements for the Aviary System of Systems.,UAV data will be secure so only authorized access is allowed.,Neutral
50,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Conflict
51,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall remotely monitor from the air locations extending up to 25 miles of the target.,Conflict
52,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Conflict
53,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Conflict
54,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,Conflict
55,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the Hummingbird.,Conflict
56,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Conflict
57,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 200 miles of the origin.,Conflict
58,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 miles of the origin.,Conflict
59,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,Duplicate
60,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 32.19 Km of the origin.,Duplicate
61,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Aviary shall provide remote monitoring of a wide range of locations from the air and from the point of origin.,Duplicate
62,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide non-local surveillance from flight to a location within 20 miles of the origin. ,Duplicate
63,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"Within 20 miles of the origin, the Aviary can be used for surveillance.",Duplicate
64,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within the radius of 20 miles of the origin.,Duplicate
65,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The Aviary shall remotely surveil from the air, within 20 miles of the center.",Duplicate
66,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Pilot shall have a near real-time visual feedback from the Aviary system camera.,Neutral
67,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary supports autonomous and Pilot-directed flights.,Neutral
68,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The UAV visual feed shall be free of any noise in its visual field.,Neutral
69,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The Pilot should be able to set the zoom, aim and focus of the camera in real-time.",Neutral
70,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,All UAV data transmission shall be secure against unauthorized access.,Neutral
71,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all other directions.,Neutral
72,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV with secure connection.",Neutral
73,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"Under ideal conditions, the time required for a 40-mile round trip should be less than 60 minutes.",Neutral
74,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with charging,Conflict
75,Remote surveillance should support a mission of up to 2 hours without a recharge,The Aviary battery shall remain charged up to 180 minutes in the air. ,Conflict
76,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall support a mission of up to 2 hours without a recharge,Conflict
77,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours without a recharge,Conflict
78,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support 5 missions of up to 2 hours each without a recharge. ,Conflict
79,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with a recharge in the middle,Conflict
80,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of at least 2 hours without a recharge,Conflict
81,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 1 hours with a recharge,Conflict
82,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 3 hours without a recharge,Conflict
83,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to few hours without a recharge,Duplicate
84,Remote surveillance should support a mission of up to 2 hours without a recharge,The Aviary battery shall remain charged up to 120 minutes in the air. ,Duplicate
85,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of 2 hours without a recharge,Duplicate
86,Remote surveillance should support a mission of up to 2 hours without a recharge,The remote monitoring should support long duration missions without recharging.,Duplicate
87,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a two hour flight without charging. ,Duplicate
88,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance missions should be 2 hours long before recharging,Duplicate
89,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of at maximum 2 hours without a recharge,Duplicate
90,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance supports up to 2 hours without a recharge,Duplicate
91,Remote surveillance should support a mission of up to 2 hours without a recharge,The Viewer shall have no influence to the flight or camera functions on the UAV.,Neutral
92,Remote surveillance should support a mission of up to 2 hours without a recharge,Most UAV data transmission shall be secure against unauthorized access.,Neutral
93,Remote surveillance should support a mission of up to 2 hours without a recharge,"TheAviary is a system of systems consisting of the Bird Feeder pilot controller, the Hummingbird UAV, and up to 4 smartphone or computer viewing apps.",Neutral
94,Remote surveillance should support a mission of up to 2 hours without a recharge,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""rearward looking"" position.",Neutral
95,Remote surveillance should support a mission of up to 2 hours without a recharge,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of low to strong winds.",Neutral
96,Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV visual feed shall be free of motion artifacts for slow and moderate speed elements in its visual field.,Neutral
97,Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Neutral
98,Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV flight range shall exceed 20 miles. ,Neutral
99,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Conflict
100,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no more than four operaters.,Conflict
101,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for automatic navigation of the surveillance platform and for remote viewer by at least 8 independent operations personnel.,Conflict
102,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
103,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during automatic navigation of the surveillance platform and for the remote viewer by at most four independent operations personnel. ,Conflict
104,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
105,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include movie streaming for manual navigation of the surveillance platform and for remote viewer by at least five dependent operations personnel.,Conflict
106,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer, by less than four independent operations personnel.",Conflict
107,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least six independent operations personnel.,Conflict
108,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by independent operations personnel.,Duplicate
109,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no less than four operaters.,Duplicate
110,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform.,Duplicate
111,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote monitoring should include video streaming for manual operation of the monitoring platform and remote monitoring by multiple operations personnel.,Duplicate
112,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Duplicate
113,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance should include video streaming for manual navigation of the surveillance platform and for remote viewer by at the minimum four independent operations personnel.,Duplicate
114,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Duplicate
115,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly above an average 70 boxes,Neutral
116,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly over an average 70 floor building,Neutral
117,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV flight range shall exceed 20 miles. ,Neutral
118,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to automatically follow a flight plan consisting of a set of waypoints within its range and flight capabilities.,Neutral
119,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The Aviary supports autonomous and Pilot-directed flights.,Neutral
120,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,All Pilot communication to the UAV shall require secure connections protected against snooping and any unauthorized access. ,Neutral
121,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Communication among the flight, operations elements, and platform shall be unencryped",Neutral
122,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral
123,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be available to everyone",Conflict
124,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the pilot controller, UAV, and remote controllers shall be secure against hacking and eavesdropping.",Conflict
125,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall not be secure for hacking and eavesdropping.",Conflict
126,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
127,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, navigation computer, and platform shall be secure from hacking and eavesdropping. ",Conflict
128,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be unencryped",Conflict
129,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
130,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Communication along the flight and platform should be secure from hacking and eavesdropping.,Conflict
131,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be insecure for hacking and eavesdropping.",Conflict
132,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure.",Duplicate
133,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure against hacking and eavesdropping.",Duplicate
134,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall prevent hacking or eavesdropping.",Duplicate
135,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communications between the flight, operations department, and platform shall be secure against viruses.",Duplicate
136,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication between the flight, operations elements, and platform cannot allow hacking or eavesdropping. ",Duplicate
137,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Flight, operations, and platform communications should be secure to avoid eavesdropping and hacking",Duplicate
138,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication established between flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Duplicate
139,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping."," flight, operations elements, and platform communications must be secured.",Duplicate
140,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall land automatically when Pilot communication is lost and the estimated power remaining is less than 5 watts.,Neutral
141,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAB shall periodically send the Pilot the power and estimated flight time remaining.,Neutral
142,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV based on its direction of travel.,Neutral
143,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","The UAV Viewer's (also known as the ""Viewer"") connection to the UAV shall be secure",Neutral
144,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV independently from its direction of travel.,Neutral
145,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall transmit information to any devices.,Neutral
146,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Neutral
147,"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot controller shall connect or disconnect to at most one Hummingbird in a secure fashion at any time.,Neutral
148,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight.,Conflict
149,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall only support autonomous remote missions.,Conflict
150,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support manual mission plans as well as Pilot-directed flight.,Conflict
151,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Conflict
152,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight. ,Conflict
153,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support only autonomous mission plans.,Conflict
154,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary may not support autonomous mission plans as well as Pilot-directed flight.,Conflict
155,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support Pilot-directed flight.,Conflict
156,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall not support autonomous mission plans.,Conflict
157,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as manual navigation.,Duplicate
158,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support both autonomous missions and direct Pilot flight.,Duplicate
159,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as manual flights.,Duplicate
160,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Aviation shall support automated operation as well as pilot-directed flight.,Duplicate
161,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed missions. ,Duplicate
162,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Aviary mission plans can be both piloted and autonomous.,Duplicate
163,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans in addition to Pilot-directed flight.,Duplicate
164,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary supports autonomous and Pilot-directed flights.,Duplicate
165,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Neutral
166,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV shall land automatically when Pilot communication is broken and the estimated flight time remaining is less than 5 minutes.,Neutral
167,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to control the speed of flight from 0 knots to maximum speed in any direction in a smooth fashion.,Neutral
168,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The custom communications network shall faciliate pilot communications with the UAV up to 50-miles from the pilot's origin.,Neutral
169,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neutral
170,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Neutral
171,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,"The UAV shall detect a loss of communication with the Pilot, wait for communication to resume, and hover in place until communication is resumed.",Neutral
172,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV video recording shall have 720p resolution and frame rate.,Neutral
173,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any location,Conflict
174,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot controller shall fly the UAV by air to a location at least 20 miles from the starting point.,Conflict
175,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 40 kilometers of its origin,Conflict
