Text1,Text2,Class
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","TheAviary is a system of systems consisting of a pilot controller, UAV , and <= 4 Viewers.",Duplicate
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Pilot shall be able to set the zoom, aim and focus of the UAV camera in virtual-time.",Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",All Pilot communication with the UAV shall require a secure connections and shall be protected against snooping and other forms of unauthorized access.,Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The UAV shall be able to fly above an above average 70 story building. ,Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The Pilot can rotate the UAV independently from its current direction of travel.,Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).",The UAV shall send the Pilot only real-time information about malfunctions that impact the mission.,Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The Pilot Controller shall be able to define, upload, start, and end a flight plan to the Hummingbird consisting of a set of waypoints within the Hummingbird's flight envelope.",Neural
"TheAviary is a system of systems consisting of a pilot controller (known as the Bird Feeder), a UAV (known as theHummingbird), and up to 4 Viewers (apps running on smart phones or computers).","The UAV Viewer (also known as the ""Viewer"") shall securely connect to the UAV.",Neural
These are the customer requirements for the Aviary System of Systems.,These are the performance requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the client requirements for the Apiary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the System Requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the vendor requirements for the Aviary System of Systems. ,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the business requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the engineer's requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the developer options for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the software requirements for the Aviary System of Systems.,Conflict
These are the customer requirements for the Aviary System of Systems.,These are the user requests for the Aviary System of Systems.,Duplicate
These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System,Duplicate
These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System.,Duplicate
These are the customer requirements for the Aviary System of Systems.,These are the customer requirements for the Aviary System of Systems.,Duplicate
These are the customer requirements for the Aviary System of Systems.,These are the client requirements for the Aviary System of Systems. ,Duplicate
These are the customer requirements for the Aviary System of Systems.,The Aviary System of Systems has these requirements.,Duplicate
These are the customer requirements for the Aviary System of Systems.,Following are requirements for the Aviary System of Systems,Duplicate
These are the customer requirements for the Aviary System of Systems.,These are the consumer guidelines for Aviary.,Duplicate
These are the customer requirements for the Aviary System of Systems.,Remote surveillance should support a mission of up to 2 hours without a recharge,Neural
These are the customer requirements for the Aviary System of Systems.,"The UAV supports a ""stealth mode"" in which it emits no light during flight, at the discretion of the Pilot control.",Neural
These are the customer requirements for the Aviary System of Systems.,The UAV shall charge to 75% in less than 3 hours.,Neural
These are the customer requirements for the Aviary System of Systems.,The Pilot shall be able to fly the UAV to any accessible-by-air location 20 miles from its origin,Neural
These are the customer requirements for the Aviary System of Systems.,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""forward looking"" position.",Neural
These are the customer requirements for the Aviary System of Systems.,The Pilot shall rotate the UAV based on its direction of travel.,Neural
These are the customer requirements for the Aviary System of Systems.,The UAV visual feed should include a night time IR camera capability,Neural
These are the customer requirements for the Aviary System of Systems.,UAV data will be secure so only authorized access is allowed.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall remotely monitor from the air locations extending up to 25 miles of the target.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 Km of the origin.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the ground of a location within 20 miles of the origin. ,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the Hummingbird.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a local surveillance from the air of a location within 20 miles of the origin.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 200 miles of the origin.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 40 miles of the origin.,Conflict
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air within 20 miles of the origin.,Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within 32.19 Km of the origin.,Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,Aviary shall provide remote monitoring of a wide range of locations from the air and from the point of origin.,Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide non-local surveillance from flight to a location within 20 miles of the origin. ,Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"Within 20 miles of the origin, the Aviary can be used for surveillance.",Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary shall provide a remote surveillance from the air of a location within the radius of 20 miles of the origin.,Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The Aviary shall remotely surveil from the air, within 20 miles of the center.",Duplicate
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Pilot shall have a near real-time visual feedback from the Aviary system camera.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The Aviary supports autonomous and Pilot-directed flights.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The UAV visual feed shall be free of any noise in its visual field.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The Pilot should be able to set the zoom, aim and focus of the camera in real-time.",Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,All UAV data transmission shall be secure against unauthorized access.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,The camera shall be able to point directly underneath the Hummingbird and to at least 60 degrees in all other directions.,Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"The UAV Viewer (also known as the ""Viewer"") shall connect to the UAV with secure connection.",Neural
The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the origin.,"Under ideal conditions, the time required for a 40-mile round trip should be less than 60 minutes.",Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with charging,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,The Aviary battery shall remain charged up to 180 minutes in the air. ,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall support a mission of up to 2 hours without a recharge,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours without a recharge,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support 5 missions of up to 2 hours each without a recharge. ,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 2 hours with a recharge in the middle,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of at least 2 hours without a recharge,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 1 hours with a recharge,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to 3 hours without a recharge,Conflict
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of up to few hours without a recharge,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,The Aviary battery shall remain charged up to 120 minutes in the air. ,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of 2 hours without a recharge,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,The remote monitoring should support long duration missions without recharging.,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a two hour flight without charging. ,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance missions should be 2 hours long before recharging,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance should support a mission of at maximum 2 hours without a recharge,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance supports up to 2 hours without a recharge,Duplicate
Remote surveillance should support a mission of up to 2 hours without a recharge,The Viewer shall have no influence to the flight or camera functions on the UAV.,Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,Most UAV data transmission shall be secure against unauthorized access.,Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,"TheAviary is a system of systems consisting of the Bird Feeder pilot controller, the Hummingbird UAV, and up to 4 smartphone or computer viewing apps.",Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,"The Pilot shall be able to fly the UAV in any direction with respect to the UAV's ""rearward looking"" position.",Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,"The UAV shall maintain attitude (roll, pitch, and yaw) in the presence of low to strong winds.",Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV visual feed shall be free of motion artifacts for slow and moderate speed elements in its visual field.,Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Neural
Remote surveillance should support a mission of up to 2 hours without a recharge,The UAV flight range shall exceed 20 miles. ,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during navigation and for remote viewer by at least four independent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no more than four operaters.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for automatic navigation of the surveillance platform and for remote viewer by at least 8 independent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming during automatic navigation of the surveillance platform and for the remote viewer by at most four independent operations personnel. ,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include movie streaming for manual navigation of the surveillance platform and for remote viewer by at least five dependent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer, by less than four independent operations personnel.",Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least six independent operations personnel.,Conflict
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by independent operations personnel.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote viewer navigation shall be enabled through video streaming by no less than four operaters.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote monitoring should include video streaming for manual operation of the monitoring platform and remote monitoring by multiple operations personnel.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include a video stream during manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel. ,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance should include video streaming for manual navigation of the surveillance platform and for remote viewer by at the minimum four independent operations personnel.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Duplicate
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly above an average 70 boxes,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to fly over an average 70 floor building,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV flight range shall exceed 20 miles. ,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The UAV shall be able to automatically follow a flight plan consisting of a set of waypoints within its range and flight capabilities.,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The Aviary supports autonomous and Pilot-directed flights.,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,All Pilot communication to the UAV shall require secure connections protected against snooping and any unauthorized access. ,Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,"Communication among the flight, operations elements, and platform shall be unencryped",Neural
Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by at least four independent operations personnel.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be available to everyone",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the pilot controller, UAV, and remote controllers shall be secure against hacking and eavesdropping.",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall not be secure for hacking and eavesdropping.",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, navigation computer, and platform shall be secure from hacking and eavesdropping. ",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be unencryped",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Communication along the flight and platform should be secure from hacking and eavesdropping.,Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be insecure for hacking and eavesdropping.",Conflict
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall be secure against hacking and eavesdropping.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication among the flight, operations elements, and platform shall prevent hacking or eavesdropping.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communications between the flight, operations department, and platform shall be secure against viruses.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication between the flight, operations elements, and platform cannot allow hacking or eavesdropping. ",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Flight, operations, and platform communications should be secure to avoid eavesdropping and hacking",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","Communication established between flight, operations elements, and platform shall be secure for hacking and eavesdropping.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping."," flight, operations elements, and platform communications must be secured.",Duplicate
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall land automatically when Pilot communication is lost and the estimated power remaining is less than 5 watts.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAB shall periodically send the Pilot the power and estimated flight time remaining.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV based on its direction of travel.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.","The UAV Viewer's (also known as the ""Viewer"") connection to the UAV shall be secure",Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot shall rotate the UAV independently from its direction of travel.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The UAV shall transmit information to any devices.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Aviary shall provide a remote surveillance from the air of a location within 20 miles of the destination.,Neural
"Communication among the flight, operations elements, and platform shall be secure for hacking and eavesdropping.",The Pilot controller shall connect or disconnect to at most one Hummingbird in a secure fashion at any time.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall only support autonomous remote missions.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support manual mission plans as well as Pilot-directed flight.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed flight. ,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support only autonomous mission plans.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary may not support autonomous mission plans as well as Pilot-directed flight.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support Pilot-directed flight.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall not support autonomous mission plans.,Conflict
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as manual navigation.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support both autonomous missions and direct Pilot flight.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans as well as manual flights.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Aviation shall support automated operation as well as pilot-directed flight.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans or Pilot-directed missions. ,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Aviary mission plans can be both piloted and autonomous.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary shall support autonomous mission plans in addition to Pilot-directed flight.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Aviary supports autonomous and Pilot-directed flights.,Duplicate
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,Remote surveillance shall include video streaming for manual navigation of the surveillance platform and for remote viewer by no less than 4 independent operations personnel.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV shall land automatically when Pilot communication is broken and the estimated flight time remaining is less than 5 minutes.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to control the speed of flight from 0 knots to maximum speed in any direction in a smooth fashion.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The custom communications network shall faciliate pilot communications with the UAV up to 50-miles from the pilot's origin.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The minimum time to fly a round trip of 40 miles shall be no more than 60 minutes under ideal conditions.,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,"The UAV shall detect a loss of communication with the Pilot, wait for communication to resume, and hover in place until communication is resumed.",Neural
The Aviary shall support autonomous mission plans as well as Pilot-directed flight.,The UAV video recording shall have 720p resolution and frame rate.,Neural
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any location,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot controller shall fly the UAV by air to a location at least 20 miles from the starting point.,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 40 kilometers of its origin,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The pilot shall be able to fly the UAV to any accessible-by-air location within 20 kilometers of its origin,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 200 miles of its origin,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location 20 miles from its origin,Conflict
The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 miles of its origin,The Pilot shall be able to fly the UAV to any accessible-by-air location within 20 km of its origin,Conflict
